stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
p8REFkwK,Maithrivanam,Maithrivanam,17.43704545,78.44278514,MAITHRIVANAM twd Yousufguda
FkZHuszf,State Home,State Home,17.43644515,78.43953699,STATE Home twd Kondapur
ZhXCxXmg,Yousufguda Basti,Yousufguda Basti,17.43648866,78.43367367,YOUSUFGUDA Basthi twd Kondapur
Gn0cvdob,Yousufguda Check Post,Yousufguda Check Post,17.43645972,78.42808905,YOUSUFGUDA CHECK POST twd Kondapur
qOUl2tGQ,Rahamath Nagar Yusufgudda,Rahamath Nagar Yusufgudda,17.43998191,78.42403248,RAHAMATH NAGAR twd Borabanda
xooQRzAc,Karmika-Nagar,Karmika-Nagar,17.44450697,78.42415586,KARMIKA NAGAR twd Yusufguda
WlMQCvLz,Sri Ram Nagar Yusufguda,Sri Ram Nagar Yusufguda,17.44926892,78.42294484,SRI RAM NAGAR twd Borabanda
raxOJ94x,Kalyan Nagar,Kalyan Nagar,17.45079811,78.42282079,KALYAN Nagar twd Mothi nagar
Uzl4lfDY,Mothinagar X Road,Mothinagar X Road,17.45409536,78.42225954,MOTINAGAR X ROAD twd Borabanda
Km6BXdHU,Borabanda,Borabanda,17.45417276,78.41627687,BORABANDA Bus Station
AIKHLZLb,Mothinagar X Road,Mothinagar X Road,17.45428918,78.42231687,MOTHINAGAR X ROAD twd Erragadda
3Nct5xT3,Sri Ram Nagar Yusufguda,Sri Ram Nagar Yusufguda,17.4492677,78.42296366,SRI RAM NAGAR twd Yusufguda
GPyxthaT,Rahamath Nagar Yusufgudda,Rahamath Nagar Yusufgudda,17.43989714,78.4241116,RAHAMATH Nagar twd Yusufguda
Vy7sJKvK,Yousufguda Check Post,Yousufguda Check Post,17.43740634,78.42825729,YOUSUFGUDA Check Post twd Panjagutta
D9QGYrqD,Yousufguda Basti,Yousufguda Basti,17.43678,78.432168,YOUSUFGUDA Basti  twd Secunderabad
VdNXwVYT,Bright School,Bright School,17.4339399,78.43664255,BRIGHT SCHOOL twd Punjagutta
FOye99Qm,Srinagar Colony,Srinagar Colony,17.43023175,78.43897372,SRINAGAR Colony twd Punjagutta
Cq1NAPG5,Shanti Nagar-Pedda Amberpet,Shanti Nagar-Pedda Amberpet,17.32463809,78.65205914,SHANTHI Nagar P Amberpet
AFuELweC,Mile Stone,Mile Stone,17.43939323,78.31485994,GOPANPALLE Milestone
Tx3Uycgr,Tellapur,Tellapur,17.46267772,78.28747988,TELLAPUR X Roads twd Kollur
3Wth2CAI,Osman Nagar,Osman Nagar,17.44185474,78.272084,OSMAN NAGAR twd Kollur
Dd51Cr9K,Kollur Double Bed Room,Kollur Double Bed Room,17.43432886,78.25696036,KOLLUR Double Bedroom twd Kollur
qogLRr9i,Darga,Darga,17.41549151,78.39420498,DARGA twd Filmnagar
BwA3VoUm,Almas Hotel,Almas Hotel,17.4328984,78.32119631,JOURNALIST COLONY TWD GOPANPALLY
cv7asuHO,City Civil Court,City Civil Court,17.36806393,78.47981304,CITY CIVIL COURT
YXiLVcxv,Upparpally,Upparpally,17.35904509,78.42081929,UPPARPALLY VILLAGE
ZPqwNLNm,Hyderguda,Hyderguda,17.36347971,78.42355011,HYDERGUDA TWD KOTI
ScnQYjip,Huda Colony,Huda Colony,17.36240047,78.43328894,HUDA COLONY TWD KOTI
uIE7mDMT,Gowlipura,Gowlipura,17.3488925,78.47876129,GOWLIPURA twd Lalitabagh
9VtkSrB1,Railway Bridge Twd Lalitabagh,Railway Bridge Twd Lalitabagh,17.34534146,78.48695512,RAILWAY BRIDGE twd Lalitabagh
QUMWwuD6,Care Hospital-Gachibowli,Care Hospital-Gachibowli,17.43092017,78.3723289,"CARE HOSPITAL, GACHIBOWLI twd RGIA"
6DU6OUtP,Aramghar,Aramghar,17.32219789,78.43161371,ARAMGHAR X ROADS twd LB Nagar
ZCUbEEKX,Sathamrai,Sathamrai,17.27480234,78.40089024,SATHAMRAI twd Mehdipatnam
uDEafHkm,Gagan Pahad,Gagan Pahad,17.2929198,78.41715912,GAGANPAHAD twd Mehdipatnam
c4GSrwrY,Saidabad Police Station,Saidabad Police Station,17.36377663,78.50250721,SAIDABAD PS twd SaidabadColony
016SpKiY,Sbi Colony Twd Saidabadcolony,Sbi Colony Twd Saidabadcolony,17.361258,78.513002,SBI COLONY twd SaidabadColony
OxxSW7Ka,Saidabad Colony,Saidabad Colony,17.358963,78.509521,SAIDABAD COLONY
FdzfzCbn,Medipally,Medipally,17.41003475,78.60356212,MEDIPALLY twd JBS
hCkrCbOE,Uppal Depot,Uppal Depot,17.40539205,78.58949527,UPPAL DEPOT twd Secunderabad
wzVG2qnT,Ramanthapur,Ramanthapur,17.39721716,78.53158236,RAMANTHAPUR Colony  twd Koti
NtsTwkjS,Tilak Nagar,Tilak Nagar,17.39411245,78.50860927,TILAKNAGAR twd Mehdipatnam
u7Fc9ErH,Barkatpura,Barkatpura,17.395,78.498,BARKATPURA twd Narayanguda
BZjon0sG,Narayanaguda,Narayanaguda,17.40025784,78.49007115,NARAYANGUDA twd Mehdipatnam
7n1855W7,Himayath Nagar,Himayath Nagar,17.4024756,78.4832798,HIMAYATHNAGAR twd Mehdipatnam
wuszFLRB,In Bar,In Bar,17.4052257,78.48002493,INBAR twd Lakdikapul
QwXoY0uV,Liberty,Liberty,17.40641195,78.47793146,LIBERTY twd Uppal
pQXuSRxs,In Bar,In Bar,17.40534631,78.48002762,INBAR twd Fever Hospital
R2f0UX4v,Himayath Nagar,Himayath Nagar,17.40338295,78.48251937,HIMAYAT NAGAR twd Uppal
Yq3JPEYJ,Narayanaguda,Narayanaguda,17.40017465,78.49059686,NARAYANA Guda twd Uppal
NIknWgGq,Ali Cafe,Ali Cafe,17.38251985,78.51804794,ALI CAFE twd Uppal
Fuvttp0V,Boduppal Kaman,Boduppal Kaman,17.404896,78.587278,BODUPPAL twd Yadagirigutta
hwwH4jUc,Uppal Depot,Uppal Depot,17.40545704,78.58914996,UPPAL DEPOT twd Medipally
Q7014tR9,Medipally,Medipally,17.41,78.603,MEDIPALLY twd Ghatkesar
Y2GiAmHw,Sriram Colony,Sriram Colony,17.29309494,78.4418115,SRI Ram Colony
RVsmh9HH,Madhuban Colony Laxmiguda,Madhuban Colony Laxmiguda,17.30100554,78.43725984,MADHUBAN
459G0WxM,Kedia Biscuit Factory,Kedia Biscuit Factory,17.30785306,78.43231916,KEDIA Biscuit Factory
IOGs7PmE,Katedan,Katedan,17.31212018,78.43849892,KATEDHAN twd Aramghar
Ncgu6OoP,Aramghar,Aramghar,17.32265368,78.43287438,ARAMGHAR twd MGBS
LtgvwYh2,National Police Academy,National Police Academy,17.33250641,78.4391132,NATIONAL Police Academy twd Hyderabad
TYww7xzS,Hasan Nagar,Hasan Nagar,17.3348703,78.44177931,HASAN Nagar twd Bahadurpura
DL2nBeP5,Danamma Jhopdi,Danamma Jhopdi,17.33688596,78.44939075,DANAMA JHOPDI twd Bahadurpura
we1t6UcD,Miralam Tank,Miralam Tank,17.3409684,78.45040806,MIR Alam Tank Filter Beds twd Hyderabad
sLmnrMSX,Tadbund,Tadbund,17.34529812,78.45073521,TADBUND twd Bahadurpura
A5AwwQHd,Zoo Park,Zoo Park,17.352375,78.45267,NEHRU ZOOLOGICAL PARK KISHAN BAGH twd Hyderabad
gbj1Dn5Q,Durga Nagar-Aramghar,Durga Nagar-Aramghar,17.31401416,78.44341546,DURGANAGAR X Road twd Srinagar Colony
PBbH3tM0,Katedan,Katedan,17.31190412,78.43841318,KATEDHAN twd Sriram Nagar
X4MYo5qT,Ambedkar Nagar,Ambedkar Nagar,17.269147,78.544883,AMBEDKARNAGAR
xVZAdWOQ,Yadagiri Theater,Yadagiri Theater,17.34678259,78.50819345,YADAGIRI THEATER twd Koti
vBc58vIY,Rice Mill,Rice Mill,17.26709153,78.53919981,RICEMILL twd Nadargul
kCIp0eHf,Mile Stone,Mile Stone,17.23983842,78.57222169,MODEL HIGHSCHOOL
RZ6zEeHB,Kaman Twd Sai Balaji Homes,Kaman Twd Sai Balaji Homes,17.30598458,78.51607755,KAMAN twd Sai balaji homes
9elEuxzw,Srisai Balaji Homes,Srisai Balaji Homes,17.29985,78.51558,SAI Balaji Home B Pet
ZCWAa3mM,Kaman Twd Badangpet,Kaman Twd Badangpet,17.30611176,78.51615428,KAMAN twd Badangpet
nPhhXd2I,Ramdev Guda,Ramdev Guda,17.37543495,78.39647448,RAMDEVGUDA twd Golconda Fort
X65S57TD,Golconda Fort Bus Station,Golconda Fort Bus Station,17.38525366,78.40313673,GOLCONDA FORT Bus Station
pcfz4AiZ,Kongara Kalan Village,Kongara Kalan Village,17.19993927,78.55056441,KONGARA Kalan twd Yeliminedu
72nVMcAa,Wonderla,Wonderla,17.21253235,78.52659347,WONDER LA X ROD twd Bongloor
9Wj6lb1G,Wonderla,Wonderla,17.21685092,78.52769767,WONDERLA
12saOR5x,Rr Collectorate,Rr Collectorate,17.18935934,78.53086987,RR COLLECTORATE-K.Kalan
7giWF6ge,Kurmalguda-Nadargul,Kurmalguda-Nadargul,17.26719405,78.51905912,KURMALGUDA twd Indra Nagar
XxKLTyzD,Mile Stone,Mile Stone,17.272,78.508,INDRANAGAR
7qtgR7Vl,Kurmalguda-Nadargul,Kurmalguda-Nadargul,17.26720423,78.51915032,KURMALGUDA twd Midhani
qpsOb8NT,Sardar Nagar,Sardar Nagar,17.2318726,78.47358227,SARDARNAGAR twd Amangal
A079uMEB,Bjp Quarters,Bjp Quarters,17.32577368,78.51969615,BJP QUARTERS twd Mandamallamma x road
xs5HfbWq,Bjp Quarters,Bjp Quarters,17.32578483,78.51986913,BJP QUARTERS twd Balapur x road
7JQGY8aq,Pahadi Shareef,Pahadi Shareef,17.2717018,78.47342939,PAHADI Sharif
6WMZmtOZ,Sachivalaya Nagar,Sachivalaya Nagar,17.32890131,78.57178532,SACHIVALAYA NAGAR Vanastalipuram
i1O0CrCB,Kendriya Vidyalaya-Odf,Kendriya Vidyalaya-Odf,17.49482615,78.13433111,CENTRAL SCHOOL twd Ordinance Factory
jjTOf7Dn,Ordinance Factory,Ordinance Factory,17.50680292,78.13607991,ORDINENS FACTORY
fNpAaT7s,Ordinance Factory,Ordinance Factory,17.50702942,78.1363602,ORDINANCE FACTORY twd Mehdipatnam
DdWch2Wn,Kendriya Vidyalaya-Odf,Kendriya Vidyalaya-Odf,17.49440164,78.13440621,CENTRAL SCHOOL twd Shankarpally
4lZ1ReBK,Hyder Nagar,Hyder Nagar,17.49954,78.383844,HYDERNAGAR twd Koti
SBpjAyzx,Mangalpalle-Ibrahimpatnam,Mangalpalle-Ibrahimpatnam,17.20893515,78.59507024,MANGALPALLE twd Ibrahimpatnam
fP96Ktrp,Mile Stone,Mile Stone,17.18676113,78.64904165,IBRAHIMPATNAM Bus Depot
04mJO1AJ,Times School Twd Sharadadhamam,Times School Twd Sharadadhamam,17.34149923,78.39221233,TIMES SCHOOL twd Sharadadhamam
tG4J8i6l,Sharadadamam,Sharadadamam,17.34540789,78.39179367,SHARADHAMAM twd Bandlagudajaghir
W6QGjO6t,Bandlaguda Jagir,Bandlaguda Jagir,17.35122461,78.38988122,BANDLAGUDA JAGIR twd Kali Mandir
HVacVN7k,Shanthi Nagar Bandlaguda Jagir,Shanthi Nagar Bandlaguda Jagir,17.36326852,78.39085624,SHANTHI NAGAR twd Mehidipatnam
pogVY7SA,Hydershakoti,Hydershakoti,17.36868661,78.39505792,HYDERSHAKOTE twd Mehdipatnam
a5xAO1LB,Hydershakoti,Hydershakoti,17.36872779,78.39324211,HYDERSHAKOTE twd Shamshabad
dNa6vhrJ,Shanthi Nagar Bandlaguda Jagir,Shanthi Nagar Bandlaguda Jagir,17.36323402,78.39087367,SHANTHI NAGAR twd Shamshabad
8EkWG3EM,Bandlaguda Jagir,Bandlaguda Jagir,17.351,78.39,BANDLAGUDA JAGIR twd Kismatpur
ZvWd5zt7,Sharadadamam,Sharadadamam,17.34543605,78.39183391,SHARADHAMAM twd Kismathpur
UafXCKBH,Mile Stone,Mile Stone,17.34149389,78.39223757,TIMES SCHOOL twd Kismathpur
IEmm4huz,Boats Club,Boats Club,17.428567,78.488812,BOATS Club twd Koti
ZFQrPSa1,Karmika-Nagar,Karmika-Nagar,17.44425993,78.42411296,KARMIKA NAGAR twd Borabanda
top0S40G,Kalyan Nagar,Kalyan Nagar,17.4510559,78.42287511,KALYAN NAGAR twd Yusufguda
MHRfZoa4,Gunthapalle,Gunthapalle,17.282,78.705,GUNTAPALLE VILLAGE twd Majedpur
x28d7cJf,Avanthi Engg Clg,Avanthi Engg Clg,17.28233601,78.70823001,AVANTHI ENG COLLEGE twd Majedpur
GbGvYUab,Mazidpur Village,Mazidpur Village,17.28155748,78.7128353,MAJEEDPUR VILLAGE twd Dandumailaram
XKFmr7fi,Mile Stone,Mile Stone,17.26840805,78.72178315,KUBERAPURI twd Dandu mailaram
dlQbuusO,Narrepalle,Narrepalle,17.25999149,78.73468995,NARREEPALLE twd Dandumailaram
WvMFuY0p,Dandumailaram,Dandumailaram,17.23092463,78.76094207,DANDUMAILARAM twd Ibrahimpatnam
xTxCnGuv,Dandumailaram,Dandumailaram,17.23100148,78.76091393,DANDUMAILARAM twd Choutupal
9FFAPE8x,Narrepalle,Narrepalle,17.25978173,78.73451824,NARREEPALLE twd Polkampally
41HAB087,Kuberapuri Twd Abdullapur Mettu,Kuberapuri Twd Abdullapur Mettu,17.26833633,78.72156858,KUBERAPURI twd Abdullapur mettu
smIcb0dP,Mazidpur Hayathnagar,Mazidpur Hayathnagar,17.28149083,78.71279775,MAJEEDPUR VILLAGE twd Abdullapurmet
lyrOFxGC,Avanthi Engg Clg,Avanthi Engg Clg,17.28243004,78.70812735,AVANTHI ENG COLLEGE twd Abdullapurmet
EChYUfJl,Gunthapalle,Gunthapalle,17.282,78.705,GUNTAPALLE VILLAGE twd Abdullapurmet
nrGl5G18,Errakunta Hyd Bus Stop,Errakunta Hyd Bus Stop,17.30363354,78.47462497,ERRAKUNTA twd Maheshwaram
0481ggli,Pahadi Shareef,Pahadi Shareef,17.27241222,78.47312726,PAHADI Shareef twd Mamidipalli
EfDqrG4w,Omer Colony,Omer Colony,17.26913802,78.46621424,OMER Colony
SAwLUJiF,Mamidipally,Mamidipally,17.24935075,78.45098735,MAMIDIPALLY twd Shamshabad
lOzqzi2E,Sri Sai Dharmagiri Kshetram,Sri Sai Dharmagiri Kshetram,17.25924602,78.41821343,SRI SAI TEMPLE Dharmagiri twd Shamshabad
3IjVrdPo,Rgi Airport,Rgi Airport,17.24078484,78.42925069,RGI AIRPORT
fKjLfk9G,Chintapatla,Chintapatla,17.00951217,78.68664891,CHINTHAPATLA X Road twd Chinthapatla
ULoD3Z9g,Thammaloniguda X Road,Thammaloniguda X Road,16.98679494,78.711171,THAMMALONIGUDA X RAOD twd Mall
46ERbs1N,Mall Bs,Mall Bs,16.96738443,78.72971714,MALL twd Devanakonda
VLMgYPNs,Mile Stone,Mile Stone,17.18077,78.6518687,KAPAD X Road
LOnsDDDd,Cherlapatelguda X Road,Cherlapatelguda X Road,17.1804832,78.63693953,CHERLAPATELGUDA X ROAD twd Veliminedu
BoJqNEvb,Rajamahendra College,Rajamahendra College,17.17495816,78.63586663,RAJAMAHENDRA COLLEGE twd Cherlapatelguda
H5g5Piv2,Cherlapatelguda,Cherlapatelguda,17.16795186,78.6338228,CHERLAPATELGUDA VILLAGE twd Kappad
xkwklHr9,Karnamguda,Karnamguda,17.17527591,78.62324939,KARNAMGUDA twd Eliminedu
RsTHf5RR,Pocharam-Ibrahimpatnam,Pocharam-Ibrahimpatnam,17.17801276,78.60051513,POCHARAM twd Mangalpally
Vdyu1nge,Metilla,Metilla,17.164,78.594,METILLA twd Enedu
9UirTnPr,Yeliminedu,Yeliminedu,17.14404032,78.59487174,YELIMINEDU twd Madapuram
Ea0iAjDN,Timmapur X Roads,Timmapur X Roads,17.143,78.589,THIMMAPUR X ROAD twd Madapuram
IobWZ0kF,Madhapur-Kandukur,Madhapur-Kandukur,17.12817964,78.58152509,MADHAPUR twd Gumadavely
4C1MiLTY,Middle Tank Band,Middle Tank Band,17.42345795,78.48591775,MIDDLE TANK BUND twd Mehdipatnam
AUw1gaTJ,Shamshabad,Shamshabad,17.26204565,78.38824242,SHAMSHABAD twd RGIA
MIDq6s3m,Sri Sai Dharmagiri Kshetram,Sri Sai Dharmagiri Kshetram,17.25931006,78.41830194,SRI SAI TEMPLE Dharmagiri twd Charminar
7jisLozx,Mamidipally,Mamidipally,17.25,78.451,MAMIDIPALLY twd Charminar
w6P4lO4H,Pahadi Shareef,Pahadi Shareef,17.27239468,78.47308739,PAHADI Shareef twd Charminar
Z2OYHC3k,Middle Tank Band,Middle Tank Band,17.42226794,78.48501921,MIDDLE TANK BAND twd Secundrabad
GwiituYe,Shamshabad,Shamshabad,17.26165632,78.38798761,SHAMSHABAD twd Shubanpur
syF0D7NE,Kishanguda,Kishanguda,17.25431025,78.38055784,KISHANGUDA SHM twd Jp Dargha
lRdPmDfL,Gandiguda,Gandiguda,17.23030731,78.35262261,GANDIGUDA twd Shubanpur
Tgi2Jcer,Gansimiya-Guda,Gansimiya-Guda,17.22581374,78.34732537,GHASMIYAGUDA twd Jp darga
6qUxhHmn,Peddashapur,Peddashapur,17.217,78.341,PEDDA SHAPOOR twd Shubanpur
0XDEo12B,Madanpally,Madanpally,17.19884808,78.322419,MADANAPALLY twd Ameerpet
CwAfl9ku,Palmakole,Palmakole,17.18551835,78.30608233,PALMAKULA twd JP Darga
WQwkzTAa,Thimmapur-Kothur,Thimmapur-Kothur,17.1678494,78.29838582,TIMMAPUR twd Amangal
eSljGJzV,Kothur-Shadnagar,Kothur-Shadnagar,17.14739276,78.28882635,KOTHUR twd Shadnagar
eC6sMKtp,Natco,Natco,17.13598713,78.28579272,NATCO twd Amangal
